1000,0,0,0
2000,225,1244,1422
3000,696,1536,2097
4000,1263,1609,2585
5000,1850,1615,2908
6000,2393,1694,3085
7000,2844,1933,3148
8000,3174,2310,3154
9000,3373,2743,3175
10000,3459,3150,3273
11000,3475,3475,3475
12000,3482,3691,3755
13000,3544,3799,4059
14000,3697,3829,4331
15000,3937,3832,4531
16000,4219,3866,4647
17000,4491,3976,4689
18000,4706,4173,4693
19000,4843,4427,4707
20000,4903,4690,4774
21000,4914,4914,4914
22000,4914,4914,4914
23000,4914,4914,4914
24000,4914,4914,4914
25000,4914,4914,4914
26000,4914,4914,4914
27000,4914,4914,4914
28000,4914,4914,4914
29000,4914,4914,4914
30000,4914,4914,4914
31000,4914,4914,4914
32000,4914,4914,4914
33000,4914,4914,4914
34000,4914,4914,4914
35000,4914,4914,4914
36000,4914,4914,4914
37000,4914,4914,4914
38000,4914,4914,4914
39000,4914,4914,4914
40000,4914,4914,4914
41000,4914,4914,4914
42000,4914,4914,4914
43000,4914,4914,4914
44000,4914,4914,4914
45000,4914,4914,4914
46000,4914,4914,4914
47000,4914,4914,4914
48000,4914,4914,4914
49000,4914,4914,4914
50000,4914,4914,4914
51000,4914,4914,4914
52000,4914,4914,4914
53000,4914,4914,4914
54000,4914,4914,4914
55000,4914,4914,4914
56000,4914,4914,4914
57000,4914,4914,4914
58000,4914,4914,4914
59000,4914,4914,4914
60000,4914,4914,4914
61000,4914,4914,4914
62000,4914,4914,4914
63000,4914,4914,4914
64000,4914,4914,4914
65000,4914,4914,4914
66000,4914,4914,4914
67000,4914,4914,4914
68000,4914,4914,4914
69000,4914,4914,4914
70000,4914,4914,4914
71000,4914,4914,4914
72000,4914,4914,4914
73000,4914,4914,4914
74000,4914,4914,4914
75000,4914,4914,4914
76000,4914,4914,4914
77000,4914,4914,4914
78000,4914,4914,4914
79000,4914,4914,4914
80000,4914,4914,4914
81000,4914,4914,4914
82000,4914,4914,4914
83000,4914,4914,4914
84000,4914,4914,4914
85000,4914,4914,4914
86000,4914,4914,4914
87000,4914,4914,4914
88000,4914,4914,4914
89000,4914,4914,4914
90000,4914,4914,4914
91000,4914,4914,4914
92000,4914,4914,4914
93000,4914,4914,4914
94000,4914,4914,4914
95000,4914,4914,4914
96000,4914,4914,4914
97000,4914,4914,4914
98000,4914,4914,4914
99000,4914,4914,4914
100000,4914,4914,4914
101000,4914,4914,4914
102000,4914,4914,4914
103000,4914,4914,4914
104000,4914,4914,4914
105000,4914,4914,4914
106000,4914,4914,4914
107000,4914,4914,4914
108000,4914,4914,4914
109000,4914,4914,4914
110000,4914,4914,4914
111000,4914,4914,4914
112000,4914,4914,4914
113000,4914,4914,4914
114000,4914,4914,4914
115000,4914,4914,4914
116000,4914,4914,4914
117000,4914,4914,4914
118000,4914,4914,4914
119000,4914,4914,4914
120000,4914,4914,4914
121000,4914,4914,4914
122000,4914,4914,4914
123000,4914,4914,4914
124000,4914,4914,4914
125000,4914,4914,4914
126000,4914,4914,4914
127000,4914,4914,4914
128000,4914,4914,4914
129000,4914,4914,4914
130000,4914,4914,4914
131000,4914,4914,4914
132000,4914,4914,4914
133000,4914,4914,4914
134000,4914,4914,4914
135000,4914,4914,4914
136000,4914,4914,4914
137000,4914,4914,4914
138000,4914,4914,4914
139000,4914,4914,4914
